Year,Category,Product,Sales,Rating
2017,Components,Chains," $20,000 ",75%
2015,Clothing,Socks," $3,700 ",22%
2017,Clothing,Bib-Shorts," $4,000 ",22%
2015,Clothing,Shorts," $13,300 ",56%
2017,Clothing,Tights," $36,000 ",100%
2015,Components,Handlebars," $2,300 ",35%
2016,Clothing,Socks," $2,300 ",28%
2016,Components,Brakes," $3,400 ",36%
2016,Bikes,Mountain Bikes," $6,300 ",40%
2017,Components,Brakes," $5,400 ",38%
2016,Accessories,Helmets," $17,000 ",90%
2016,Accessories,Lights," $21,600 ",90%
2016,Accessories,Locks," $29,800 ",90%
2016,Components,Bottom Brackets," $1,000 ",23%
2015,Clothing,Jerseys," $6,700 ",5%
2017,Components,Bottom Brackets, $600 ,27%
2015,Bikes,Road Bikes," $3,500 ",50%
2017,Clothing,Jerseys," $7,500 ",40%
2017,Accessories,Tires and Tubes," $63,700 ",90%
2017,Bikes,Cargo Bike," $9,300 ",60%
2017,Bikes,Mountain Bikes," $8,500 ",46%
2017,Accessories,Bike Racks," $33,700 ",92%
2017,Clothing,Caps, $600 ,15%
2015,Bikes,Mountain Bikes," $3,100 ",35%
2017,Accessories,Pumps," $30,700 ",95%
2016,Accessories,Pumps," $16,400 ",80%
2016,Accessories,Bike Racks," $22,100 ",90%
2017,Accessories,Helmets," $34,000 ",95%
2015,Accessories,Pumps, $700 ,10%
2015,Clothing,Tights," $3,300 ",30%
2017,Bikes,Road Bikes," $16,900 ",65%
2017,Accessories,Lights," $36,700 ",90%
2015,Accessories,Helmets," $8,300 ",99%
2016,Clothing,Bib-Shorts," $2,900 ",36%
2015,Accessories,Tires and Tubes," $8,700 ",90%
2017,Accessories,Locks," $35,000 ",100%
2016,Bikes,Road Bikes," $8,300 ",46%
2016,Components,Wheels," $16,700 ",75%
2016,Bikes,Touring Bikes," $1,800 ",15%
2017,Clothing,Socks," $3,700 ",48%
2016,Clothing,Shorts," $12,000 ",66%
2015,Accessories,Locks," $10,000 ",85%
2015,Components,Bottom Brackets, $500 ,35%
2017,Components,Wheels," $21,800 ",96%
2016,Components,Chains," $16,400 ",70%
2016,Clothing,Caps, $400 ,20%
2015,Clothing,Vests," $3,300 ",36%
2017,Components,Handlebars," $5,000 ",35%
2016,Components,Handlebars," $3,300 ",38%
2015,Components,Pedals, $800 ,36%
2016,Clothing,Gloves," $15,600 ",65%
2016,Components,Pedals," $1,500 ",17%
2017,Components,Pedals," $6,200 ",38%
2017,Clothing,Gloves," $27,000 ",88%
2016,Components,Saddles," $2,800 ",38%
2016,Bikes,Cargo Bike," $6,700 ",46%
2015,Clothing,Gloves," $13,300 ",50%
2016,Accessories,Tires and Tubes," $13,800 ",85%
2017,Clothing,Vests," $2,400 ",35%
2015,Accessories,Bike Racks, $300 ,5%
2015,Components,Saddles," $2,100 ",49%
2015,Components,Brakes," $2,300 ",34%
2015,Components,Wheels," $10,000 ",66%
2015,Bikes,Touring Bikes, $500 ,22%
2016,Clothing,Jerseys," $3,800 ",48%
2015,Bikes,Cargo Bike," $3,200 ",48%
2017,Clothing,Shorts," $23,000 ",100%
2015,Clothing,Bib-Shorts, $700 ,28%
2015,Accessories,Lights," $1,300 ",90%
2016,Clothing,Vests," $1,300 ",25%
2016,Clothing,Tights," $22,100 ",99%
2017,Components,Saddles," $3,100 ",42%
2015,Clothing,Caps, $500 ,50%
2017,Bikes,Touring Bikes," $3,100 ",22%
2015,Components,Chains," $8,700 ",92%
